"logFC","AveExpr","t","P.Value","adj.P.Val","B","X"
0.752888441760038,12.7124068902198,8.2141762437747,8.01208675559296e-15,8.01208675559296e-15,22.8961518437964,"hsa-mir-205"
0.848717816785075,9.05978127340439,7.30372692420724,2.93149939784132e-12,2.93149939784132e-12,17.4095929606784,"hsa-mir-137"
2.72840599475248,11.3640207592996,6.87136266223951,4.1354592331474e-11,4.1354592331474e-11,14.6228997828725,"hsa-mir-944"
0.705615790240249,9.09323662251858,6.43178350816987,5.44832331838186e-10,5.44832331838186e-10,12.3671806830066,"hsa-mir-548j"
1.45034172985913,10.032054116969,6.02733904091107,5.2530367717107e-09,5.2530367717107e-09,10.156855419703,"hsa-mir-1293"
0.672043882831712,9.53233484570977,5.40730703464959,1.37417646910763e-07,1.37417646910763e-07,7.1080992993388,"hsa-mir-1228"
0.621572215216164,8.92414583797054,4.66135447757086,4.87029344514617e-06,4.87029344514617e-06,3.83181000844963,"hsa-mir-1910"
0.613875128935285,11.0436255229888,3.87056843053724,0.000135226085229144,0.000135226085229144,0.717213401818515,"hsa-mir-34c"
0.725506936539907,10.0567698804537,3.6645819702297,0.000296389076371654,0.000296389076371654,0.160054769870204,"hsa-mir-34b"
0.601193056670324,9.95060936751871,2.78894797498315,0.00565131892247751,0.00565131892247751,-2.42217652104271,"hsa-mir-9-3"
0.726056786470547,10.4220414681217,2.52791344774057,0.0120255812318423,0.0120255812318423,-3.1217542833323,"hsa-mir-187"
