"logFC","AveExpr","t","P.Value","adj.P.Val","B","X"
-0.612744726555585,12.2484331129337,-11.4283539093605,4.50970512311853e-25,4.50970512311853e-25,45.8497090534824,"hsa-mir-375"
-0.959453929846483,10.317721350849,-9.2932267970662,4.42078491256656e-18,4.42078491256656e-18,30.4174283139518,"hsa-mir-215"
-1.21608052591272,9.84939560537351,-7.79863625645398,1.24908799427801e-13,1.24908799427801e-13,20.4524435368049,"hsa-mir-577"
-0.664280216498637,10.2346881388586,-5.40424611169863,1.39558549800043e-07,1.39558549800043e-07,7.10304177863566,"hsa-mir-592"
-0.730168152334279,9.09609644638408,-5.13977539422919,5.17562143810373e-07,5.17562143810373e-07,5.92005736743018,"hsa-mir-3170"
-0.643217497964167,9.82236504048499,-3.83496595174143,0.000155247187774839,0.000155247187774839,0.628986909407413,"hsa-mir-615"
-0.602116620877333,8.19336540714982,-3.61151401557928,0.000360786914708962,0.000360786914708962,-0.0303618483369137,"hsa-mir-3189"
-0.647973631178512,9.05638877917083,-3.4766344167298,0.000588569856772468,0.000588569856772468,-0.458621685176187,"hsa-mir-509-3"
-0.608513805691093,8.99386686110961,-3.17280042497628,0.00167818454556945,0.00167818454556945,-1.37426292507209,"hsa-mir-509-2"
